MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Coordinate
1-01341-7505,1792-R1,865 1 AVENUE,MIDTOWN EAST,1,81,1930,78000,2200000,28.2,9110003,117,40.614211 -73.8999599
1-01346-7503,475-R1,975 1 AVENUE,MIDTOWN EAST,1,59,1941,53435,1935040,36.2,9010009,169,40.614211 -73.8999599
1-01365-7501,283-R1,966 1 AVENUE,MIDTOWN EAST,1,189,1958,196802,6900000,35.1,32100020,163,40.614211 -73.8999599
1-01370-7501,37-R1,40 SUTTON PLACE,MIDTOWN EAST,1,75,1981,61175,2350000,38.4,11500003,188,40.7585636 -73.9600238
1-01006-7501,130-R1,825 7 AVENUE,MIDTOWN WEST,1,212,1968,223307,8485666,38,39500032,177,40.614211 -73.8999599
1-01011-7501,11-R1,160 CENTRAL PARK SOUTH,MIDTOWN WEST,1,161,1930,174064,8877264,51,43766753,251,40.76617385 -73.9785096894
1-01011-7502,496-R1,106 CENTRAL PARK SOUTH,MIDTOWN WEST,1,420,1930,340000,13600000,40,66800009,196,40.7657405 -73.9767682
1-01011-7503,696-R1,116 CENTRAL PARK SOUTH,MIDTOWN WEST,1,79,1950,78236,3129440,40,15399994,197,40.7658937 -73.9771319
1-01011-7505,1018-R1,1431 6 AVENUE,MIDTOWN WEST,1,80,1918,87821,3512840,40,17200003,196,40.614211 -73.8999599
1-01020-7502,1519-R1,1600 BROADWAY,MIDTOWN WEST,1,137,2005,165323,8100827,49,39800049,241,40.7601888 -73.9843526023
1-01043-7502,280-R1,879 8 AVENUE,MIDTOWN WEST,1,65,1947,54655,1639650,30,7640019,140,40.614211 -73.8999599
1-01049-7501,1311-R1,1 CENTRAL PARK,MIDTOWN WEST,1,129,1955,377444,23024084,61,112999996,299,43.16962 -77.595041
1-01049-7501,1311-R2,80 COLUMBUS CIRCLE,MIDTOWN WEST,1,65,1955,217897,13291717,61,65199999,299,42.5376425318 -73.8046061463
1-01271-7501,7-R2,1360 6 AVENUE,MIDTOWN WEST,1,183,1963,141738,4960830,35,23100030,163,40.614211 -73.8999599
1-01274-7503,1150-R1,50 CENTRAL PARK SOUTH,MIDTOWN WEST,1,11,1931,84843,4072464,48,19999998,236,40.7651799 -73.9760101125
1-01274-7504,1508-R1,768 5 AVENUE,MIDTOWN WEST,1,164,1907,395521,24917823,63,121999996,308,40.614211 -73.8999599
1-01025-7501,606-R1,828 7 AVENUE,MIDTOWN WEST,2,129,1916,128513,4240929,33,19800000,154,40.614211 -73.8999599
1-00518-7502,670-R1,199 PRINCE STREET,SOHO,0,27,1900,13020,325500,25,1349999,104,40.72685355 -74.0026930124
1-00518-7504,1093-R1,195 PRINCE STREET,SOHO,0,15,1920,6013,150325,25,622994,104,40.7267577 -74.0024978486
1-00228-7501,1432-R1,3 WOOSTER STREET,SOHO,1,11,2003,25300,907000,35.8,4219998,167,40.7210737692 -74.0038727692
1-00228-7502,2024-R1,311 WEST BROADWAY,SOHO,1,67,2007,146294,5851760,40,28700000,196,40.6244227479 -73.7339288165
1-00231-7501,1354-R1,443 BROADWAY,SOHO,1,16,1910,44653,1251000,28,5180000,116,41.0719467924 -73.7704587941
1-00473-7502,1179-R1,30 CROSBY STREET,SOHO,1,13,1890,78982,1915313,24.25,7930001,100,40.7209281111 -73.9995772222
