MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Latitude,Longtitude
1-00218-7501,1457-R1,92 LAIGHT STREET,7,1,65,2004,163128,6239646,38.3,30599995,188,40.7228826,-74.0096042
1-00222-7502,1064-R1,195 HUDSON STREET,7,1,27,1920,88496,2744000,31,12799997,145,40.7230614,-74.0092197
1-00143-7501,328-R1,8 JAY STREET,7,2,13,1915,19882,520000,26.2,2150000,108,40.7178505,-74.008487
1-00189-7501,229-R1,220 WEST BROADWAY,7,2,24,1915,52735,1423845,27,5900000,112,40.7191626,-74.0109887
1-00189-7508,1061-R1,38 NORTH MOORE STREET,7,2,11,1915,18315,504000,27.5,2090000,114,40.71967,-74.0082801
1-00225-7501,1321-R1,465 GREENWICH STREET,7,2,38,1910,73919,1995813,27,8270000,112,40.7238094,-74.0092074
1-01424-7503,1797-R1,212 EAST 70 STREET,8,0,16,1900,9237,375000,40.6,1839999,199,40.767881,-73.9821266
1-01443-7501,175-R1,265 1 AVENUE,8,1,20,1984,22283,895000,40.2,4389999,197,40.732412,-73.9535705
1-01373-7503,1980-R1,415 MAIN STREET,8,1,123,2007,158770,6830000,43,33500000,211,40.7582005,-73.9530882
1-01373-7502,1714-R1,425 MAIN STREET,8,1,216,2006,185948,8000000,43,39300015,211,40.7586612,-73.9526052
1-01373-7501,1518-R1,455 MAIN STREET,8,1,230,2004,184076,7920000,43,38900001,211,40.7592235,-73.9609519
1-01455-7501,1144-R1,401 EAST 60 STREET,8,1,218,1999,310519,14650000,47.2,71899986,232,40.7602757,-73.9600108
1-01457-7501,269-R1,403 EAST 62 STREET,8,1,54,1985,55942,2250000,40.2,10999984,197,40.7614424,-73.963072
1-01435-7501,553-R1,303 EAST 60 STREET,8,1,157,1986,112099,4950000,44.2,24300001,217,40.761444,-73.9661253
1-01414-7502,1465-R1,205 EAST 59 STREET,8,1,62,2003,82086,3150000,38.4,15500002,189,40.7615192,-73.9611465
1-01436-7502,546-R1,350 EAST 62 STREET,8,1,93,1977,66688,2400000,36,11199997,168,40.7615278,-73.9653337
1-01414-7501,139-R1,220 EAST 60 STREET,8,1,137,1965,102271,3800000,37.2,17700014,173,40.7615762,-73.9577816
1-01436-7501,272-R1,1178 2 AVENUE,8,1,110,1986,112573,5000000,44.4,24499996,218,40.7624466,-73.958701
1-01415-7501,307-R1,200 EAST 61 STREET,8,1,219,1986,254167,11300000,44.5,55499994,218,40.7625289,-73.9597872
1-01438-7501,1-R1,340 EAST 64 STREET,8,1,306,1965,504238,19570000,38.8,96099917,191,40.7628216,-73.959827
1-01394-7501,1101-R1,515 PARK AVENUE,8,1,44,1998,158497,7610000,48,37400000,236,40.763228,-73.9629709
1-01374-7502,1304-R1,502 PARK AVENUE,8,1,126,2002,220037,10780000,49,52899995,240,40.7633071,-73.966468
1-01460-7501,352-R1,404 EAST 66 STREET,8,1,158,1959,142140,4900000,34.5,22800002,160,40.7635646,-73.9654889
1-01395-7502,624-R1,521 PARK AVENUE,8,1,27,1912,50302,1965000,39.1,9650000,192,40.7635987,-73.960451
1-01395-7503,667-R1,525 PARK AVENUE,8,1,48,1915,100093,3700000,37,17199993,172,40.7638114,-73.969137
1-01419-7501,197-R1,1225 2 AVENUE,8,1,88,1963,124765,5240000,42,25700001,206,40.7638719,-73.9701458
1-01397-7502,230-R1,149 EAST 62 STREET,8,1,12,1915,4777,175000,36.6,815007,171,40.7639835,-73.9581035
1-01439-7501,427-R1,304 EAST 65 STREET,8,1,127,1987,149981,6600000,44,32400015,216,40.764033,-73.968871
1-01397-7503,733-R1,166 EAST 63 STREET,8,1,157,1959,204524,8590000,42,42200002,206,40.7640866,-73.9605092
1-01375-7501,98-R1,40 EAST 61 STREET,8,1,36,1928,78349,2980000,38,13900008,177,40.7643042,-73.9686707
1-01461-7501,1974-R1,400 EAST 67 STREET,8,1,128,2005,246580,8700000,35.3,40500002,164,40.7643329,-73.9619781
1-01419-7503,833-R1,220 EAST 65 STREET,8,1,287,1978,307730,12800000,41.6,62799976,204,40.764384,-73.966233
1-01397-7505,1729-R1,140 EAST 63 STREET,8,1,86,1927,128842,5345000,41.5,26200005,203,40.7643934,-73.961439
1-01398-7501,345-R1,188 EAST 64 STREET,8,1,205,1987,216171,10150000,47,49799995,230,40.764593,-73.9651703
1-01419-7502,529-R1,200 EAST 65 STREET,8,1,295,1987,318183,13700000,43.1,67299995,212,40.7649552,-73.9698147
1-01441-7501,693-R1,301 EAST 66 STREET,8,1,204,1956,203938,8975000,44,44099994,216,40.7649831,-73.9582013
1-01420-7501,1951-R1,200 EAST 66 STREET,8,1,578,1951,925645,29650000,32,137999988,149,40.7654964,-73.962774
1-01400-7501,1151-R1,181 EAST 65 STREET,8,1,93,2000,180846,8950000,49.5,43900000,243,40.7655223,-73.9660531
1-01377-7502,111-R1,26 EAST 63 STREET,8,1,68,1901,85219,3350000,39.3,16399999,192,40.7658603,-73.964821
1-01483-7501,610-R1,524 EAST 72 STREET,8,1,147,1989,233223,8800000,37.7,40999991,176,40.7659999,-73.9667682
1-01376-7501,244-R1,4 EAST 62 STREET,8,1,13,1910,33255,1250000,37.6,5820001,175,40.7660067,-73.9660833
1-01377-7503,379-R1,1 EAST 62 STREET,8,1,15,1910,24508,925000,37.7,4310001,176,40.766063,-73.9634835
1-01464-7501,134-R1,400 EAST 70 STREET,8,1,216,1984,248163,10650000,42.9,52300021,211,40.7661506,-73.9607105
1-01377-7501,14-R1,817 5 AVENUE,8,1,16,1925,58566,2400000,41,11799999,201,40.7665406,-73.9631442
1-01379-7502,1015-R1,610 PARK AVENUE,8,1,66,1925,185696,8915000,48,43800003,236,40.7666169,-73.96403
1-01484-7501,1798-R1,515 EAST 72 STREET,8,1,358,1985,470423,22600000,48,110999997,236,40.7667165,-73.9693615
1-01466-7501,741-R1,422 EAST 72 STREET,8,1,205,1990,322581,13900000,43.1,68199996,211,40.7667795,-73.9523318
1-01423-7501,765-R1,200 EAST 69 STREET,8,1,283,1991,408657,19300000,47.2,94699996,232,40.76751,-73.9713527
1-01380-7501,1966-R1,40 EAST 66 STREET,8,1,33,1929,95425,4000000,41.9,19599992,205,40.7676411,-73.971006
1-01379-7504,1160-R1,838 5 AVENUE,8,1,18,1951,56729,3300000,58,16200000,286,40.7677801,-73.9568006
1-01381-7503,598-R1,44 EAST 67 STREET,8,1,46,1941,62196,2175000,35,10100002,162,40.768093,-73.9709548
1-01446-7501,514-R1,350 EAST 72 STREET,8,1,36,1988,70776,3000000,42.4,14700005,208,40.7680952,-73.9674135
1-01446-7503,1521-R1,330 EAST 72 STREET,8,1,13,2005,33133,1525000,46,7490000,226,40.768142,-73.9527658
1-01381-7504,653-R1,21 EAST 66 STREET,8,1,19,1941,43682,1500000,34.3,6990001,160,40.768203,-73.9550512
1-01467-7501,687-R1,1356 1 AVENUE,8,1,28,1910,19747,700000,35.4,3260004,165,40.7682492,-73.959278
1-01404-7503,332-R1,188 EAST 70 STREET,8,1,97,1986,165624,7300000,44.1,35800025,216,40.76841,-73.96299
1-01446-7502,950-R1,308 EAST 72 STREET,8,1,75,1996,125555,5650000,45,27699989,221,40.7684713,-73.959752
1-01469-7502,1944-R1,433 EAST 74 STREET,8,1,11,2007,33480,1575000,47,7730001,231,40.7685147,-73.961754
1-01487-7502,419-R1,530 EAST 76 STREET,8,1,209,1986,317169,14270000,45,70099994,221,40.7685221,-73.9588975
1-01381-7501,400-R1,3 EAST 66 STREET,8,1,27,1934,25652,1000000,39,4910002,191,40.768589,-73.9679459
1-01487-7501,239-R1,1420 YORK AVENUE,8,1,95,1956,50038,1600000,32,7449993,149,40.7690283,-73.9594433
1-01404-7501,151-R1,715 PARK AVENUE,8,1,76,1969,106669,4070000,38.2,19999985,187,40.7694875,-73.9701614
1-01449-7501,196-R1,1439 1 AVENUE,8,1,197,1985,238634,10700000,44.8,52499955,220,40.7696856,-73.960825
1-01471-7501,1300-R1,435 EAST 76 STREET,8,1,26,1900,24989,875000,35,4079999,163,40.7698333,-73.967692
1-01470-7501,1203-R1,404 EAST 76 STREET,8,1,181,1999,200000,9550000,47.8,46900000,235,40.769888,-73.967005
1-01405-7501,103-R1,110 EAST 71 STREET,8,1,21,1982,34906,1470000,42.1,7219990,207,40.7700805,-73.9569626
1-01407-7501,161-R1,157 EAST 72 STREET,8,1,138,1924,108820,3915000,36,18200010,167,40.770228,-73.957443
1-01384-7502,1095-R1,15 EAST 69 STREET,8,1,48,1926,123994,6100000,49.2,29899998,241,40.770337,-73.968392
1-01384-7501,897-R1,839 MADISON AVENUE,8,1,12,1927,56415,2330000,41.3,11399998,202,40.7703391,-73.9553474
1-01429-7502,1960-R1,255 EAST 74 STREET,8,1,77,2007,208325,11450000,55,56199996,270,40.7704492,-73.961861
1-01386-7502,375-R1,52 EAST 72 STREET,8,1,16,1986,42830,1765000,41.2,8660001,202,40.771144,-73.9580402
1-01386-7501,193-R1,50 EAST 72 STREET,8,1,48,1928,92781,3000000,32.3,14000004,151,40.77123,-73.9535698
1-01473-7502,593-R1,460 EAST 79 STREET,8,1,120,1959,141945,4900000,34.5,22800000,161,40.7713635,-73.9500727
1-01451-7501,1254-R1,300 EAST 77 STREET,8,1,86,2000,187530,8650000,46.1,42500007,227,40.7717035,-73.969071
1-01409-7501,299-R1,157 EAST 74 STREET,8,1,19,1986,41754,1670000,40,8200000,196,40.7717454,-73.9579232
1-01473-7504,1458-R1,408 EAST 79 STREET,8,1,53,2004,108075,4650000,43,22800002,211,40.7718956,-73.951776
1-01473-7501,246-R1,404 EAST 79 STREET,8,1,208,1986,205982,8450000,41,41499989,201,40.7719586,-73.9546283
1-01410-7503,968-R1,188 EAST 76 STREET,8,1,73,1996,155731,7315000,47,35900002,231,40.7723634,-73.9676729
1-01432-7501,356-R1,213 EAST 77 STREET,8,1,30,1930,18869,680000,36,3170004,168,40.772853,-73.9558402
1-01411-7501,1077-R1,145 EAST 76 STREET,8,1,20,1999,68979,3200000,46.4,15699998,228,40.773057,-73.9645207
1-01410-7504,1782-R1,823 PARK AVENUE,8,1,38,1920,55758,2060000,36.9,9600000,172,40.773099,-73.9559011
1-01411-7502,1760-R1,170 EAST 77 STREET,8,1,54,1942,79883,3100000,38.8,15200005,190,40.7731091,-73.9551278
1-01388-7501,104-R1,923 5 AVENUE,8,1,98,1950,153046,6335000,41.4,31099998,203,40.773185,-73.9523286
1-01453-7501,1890-R1,300 EAST 79 STREET,8,1,34,2006,72659,3415000,47,16799996,231,40.7732761,-73.95341
1-01412-7503,1407-R1,177 EAST 77 STREET,8,1,57,1942,87546,2700000,30.8,12599997,144,40.7733125,-73.9638431
1-01412-7502,1158-R1,188 EAST 78 STREET,8,1,71,2000,165787,8040000,48.5,39500002,238,40.7736712,-73.9611448
1-01413-7502,1366-R1,179 EAST 78 STREET,8,1,14,1900,9285,300000,32.3,1399997,151,40.774064,-73.9554272
1-01390-7502,94-R1,32 EAST 76 STREET,8,1,30,1982,42054,1750000,41.6,8589991,204,40.774064,-73.9667149
1-01390-7501,23-R1,30 EAST 76 STREET,8,1,15,1928,24277,1135000,46.8,5570001,229,40.774167,-73.9664757
1-01413-7501,257-R1,124 EAST 79 STREET,8,1,66,1985,97000,4200000,43.3,20600002,212,40.7750119,-73.9577275
1-01391-7501,946-R1,14 EAST 77 STREET,8,1,12,1910,9445,350000,37.1,1630002,173,40.775067,-73.9658606
1-01392-7501,460-R1,1009 MADISON AVENUE,8,1,111,1958,176897,7425000,42,36399992,206,40.7754227,-73.964426
1-01393-7501,637-R1,3 EAST 78 STREET,8,1,13,1910,14977,645000,43.1,3170001,212,40.7761758,-73.96464
1-01458-7502,645-R1,1175 YORK AVENUE,8,2,238,1958,304510,10200000,33.5,47500000,156,40.7616739,-73.9569038
1-01458-7503,720-R1,425 EAST 63 STREET,8,2,495,1956,456286,13720000,30.1,63900000,140,40.7617049,-73.9508721
1-01458-7504,1197-R1,1152 1 AVENUE,8,2,16,1910,4267,203000,47.6,997000,234,40.7620942,-73.952793
1-01458-7501,480-R1,1154 1 AVENUE,8,2,16,1910,12000,385000,32.1,1790000,149,40.7621967,-73.9556988
1-01395-7501,87-R1,1010 3 AVENUE,8,2,166,1963,165925,6970000,42,34200000,206,40.76251,-73.960597
1-01439-7502,802-R1,330 EAST 65 STREET,8,2,56,1910,30899,1150000,37.2,5360000,173,40.7637097,-73.9520593
1-01397-7504,770-R1,130 EAST 63 STREET,8,2,74,1960,104981,3700000,35.2,17200000,164,40.7646742,-73.952317
1-01398-7502,543-R1,139 EAST 63 STREET,8,2,52,1962,90629,3170000,35,14800000,163,40.7647349,-73.961397
1-01444-7501,377-R1,301 EAST 69 STREET,8,2,198,1963,206278,7250000,35.1,33800000,164,40.766825,-73.9611785
1-01402-7501,478-R1,1156 3 AVENUE,8,2,164,1965,129320,4700000,36.3,21900000,169,40.7671067,-73.9592018
1-01424-7501,466-R1,233 EAST 69 STREET,8,2,204,1957,206511,7000000,33.9,32600000,158,40.767504,-73.9603765
1-01445-7501,325-R1,1328 2 AVENUE,8,2,284,1961,277477,9000000,32.4,41900000,151,40.7676405,-73.957194
1-01425-7501,465-R1,1329 2 AVENUE,8,2,88,1957,89223,3250000,36.4,15100000,169,40.7677359,-73.9609311
1-01381-7502,582-R1,45 EAST 66 STREET,8,2,35,1941,77739,2720000,35,12700000,163,40.768063,-73.959905
1-01447-7501,406-R1,305 EAST 72 STREET,8,2,177,1961,175387,6000000,34.2,27900000,159,40.7688312,-73.961874
1-01469-7501,649-R1,401 EAST 74 STREET,8,2,251,1962,273109,9425000,34.5,43900000,161,40.7690765,-73.9592289
1-01382-7501,805-R1,20 EAST 68 STREET,8,2,84,1955,96152,3450000,35.9,16100000,167,40.7691259,-73.966015
1-01448-7501,682-R1,340 EAST 74 STREET,8,2,121,1957,119227,3850000,32.3,17900000,150,40.7692356,-73.954948
1-01449-7502,380-R1,339 EAST 74 STREET,8,2,149,1987,148594,5750000,38.7,28200000,190,40.7695343,-73.9586228
1-01450-7501,707-R1,333 EAST 75 STREET,8,2,125,1961,91143,3150000,34.6,14700000,161,40.7702646,-73.9647249
1-01385-7502,1510-R1,33 EAST 70 STREET,8,2,62,1928,273875,9860000,36,45900000,168,40.770474,-73.9574003
1-01430-7501,784-R1,240 EAST 76 STREET,8,2,295,1957,239536,8200000,34.2,38200000,159,40.7713582,-73.9583353
1-01473-7503,673-R1,399 1 AVENUE,8,2,36,1910,21145,680000,32.2,3170000,150,40.7716231,-73.958647
1-01409-7503,639-R1,1036 LEXINGTON AVENUE,8,2,32,1925,53255,2080000,39.1,10200000,192,40.77197,-73.9581369
1-01409-7502,573-R1,1040 LEXINGTON AVENUE,8,2,55,1929,117892,4300000,36.5,20000000,170,40.7720564,-73.963264
1-01410-7502,721-R1,1065 LEXINGTON AVENUE,8,2,30,1925,45621,1590000,34.9,7410000,162,40.772524,-73.963442
1-01410-7501,237-R1,1068 LEXINGTON AVENUE,8,2,81,1961,123370,4330000,35.1,20200000,164,40.7730225,-73.959615
1-01389-7501,50-R1,23 EAST 74 STREET,8,2,72,1912,82280,2750000,33.4,12800000,156,40.7733925,-73.963845
1-01433-7501,423-R1,205 EAST 78 STREET,8,2,218,1931,233483,9130000,39.1,44800000,192,40.7735677,-73.9625835
1-01412-7501,712-R1,170 EAST 78 STREET,8,2,36,1927,54967,1700000,30.9,7920000,144,40.773743,-73.9634053
1-01551-7501,500-R1,348 EAST 89 STREET,8,0,14,1915,8345,315000,37.7,1470004,176,40.778899,-73.9482507
1-01577-7502,45-R1,525 EAST 80 STREET,8,1,68,1981,137403,5000000,36.4,24500002,178,40.7715948,-73.9494577
1-01576-7501,277-R1,510 EAST 80 STREET,8,1,91,1986,81223,2925000,36,13600001,167,40.7716922,-73.949156
1-01577-7503,207-R1,507 EAST 80 STREET,8,1,16,1925,18290,680000,37.2,3170004,173,40.7719376,-73.948381
1-01577-7501,33-R1,520 EAST 81 STREET,8,1,163,1964,103108,3410000,33.1,15900003,154,40.772005,-73.9471518
1-01578-7502,1481-R1,48 EAST END AVENUE,8,1,32,1910,12888,425000,33,1979996,154,40.772245,-73.9470597
1-01578-7501,517-R1,52 EAST END AVENUE,8,1,82,1988,118052,4800000,40.7,23600003,200,40.7723234,-73.954444
1-01542-7501,250-R1,301 EAST 79 STREET,8,1,538,1974,433154,15700000,36.2,73100007,169,40.773366,-73.9525461
1-01543-7501,726-R1,345 EAST 80 STREET,8,1,328,1973,331552,10500000,31.7,48900010,147,40.7734363,-73.9460707
1-01580-7501,1130-R1,90 EAST END AVENUE,8,1,40,1999,119396,5225000,43.8,25599994,214,40.7735505,-73.9489885
1-01562-7501,1539-R1,450 EAST 83 STREET,8,1,120,2005,180466,7050000,39.1,34600017,192,40.7740325,-73.9520757
1-01544-7501,1586-R1,350 EAST 82 STREET,8,1,149,1998,213419,8760000,41,42999991,201,40.7744447,-73.9559621
1-01526-7502,1242-R1,215 EAST 80 STREET,8,1,147,1963,175375,5700000,32.5,26599988,152,40.7746095,-73.9562793
1-01526-7501,895-R1,201 EAST 80 STREET,8,1,100,1926,194747,9000000,46.2,44199995,227,40.774925,-73.9554689
1-01527-7502,1886-R1,215 EAST 81 STREET,8,1,40,1974,28559,1050000,36.8,4890003,171,40.775478,-73.9501066
1-01564-7502,396-R1,401 EAST 84 STREET,8,1,88,1986,105768,4100000,38.8,20100010,190,40.7755553,-73.95594
1-01527-7501,172-R1,1441 3 AVENUE,8,1,61,1985,99039,3680000,37.2,17100000,173,40.77562,-73.956424
1-01510-7501,1698-R1,1438 3 AVENUE,8,1,94,1985,138096,5750000,41.6,28199992,204,40.77601,-73.9443896
1-01584-7501,1837-R1,170 EAST END AVENUE,8,1,96,2005,268404,10750000,40.1,52799998,197,40.7760661,-73.9606476
1-01491-7501,26-R1,900 PARK AVENUE,8,1,126,1973,199534,7500000,37.6,34899979,175,40.776181,-73.9473293
1-01566-7501,440-R1,455 EAST 86 STREET,8,1,142,1986,167332,6750000,40.3,33099998,198,40.7762531,-73.94886
1-01565-7501,942-R1,420 EAST 86 STREET,8,1,45,1935,51750,1500000,29,6990001,135,40.776367,-73.952223
1-01547-7501,1346-R1,1628 2 AVENUE,8,1,14,1915,7921,280000,35.3,1300000,164,40.776659,-73.961196
1-01492-7501,531-R1,45 EAST 80 STREET,8,1,50,1987,101117,3900000,38.6,19099997,189,40.777008,-73.9576478
1-01548-7502,2032-R1,305 EAST 85 STREET,8,1,59,2008,106286,3700000,34.8,17200167,162,40.7771413,-73.9517205
1-01512-7502,1824-R1,1474 3 AVENUE,8,1,33,1981,59931,2200000,36.7,10200002,170,40.7772478,-73.9509911
1-01493-7504,912-R1,944 PARK AVENUE,8,1,23,1929,52387,1850000,35.3,8620000,165,40.7773599,-73.9555402
1-01491-7502,35-R1,988 5 AVENUE,8,1,13,1926,50888,2100000,41.3,10300000,202,40.7774399,-73.9597003
1-01513-7501,318-R1,171 EAST 84 STREET,8,1,219,1987,285668,11200000,39.2,55000003,193,40.7778833,-73.9631254
1-01493-7501,51-R1,1080 MADISON AVENUE,8,1,32,1981,50384,1850000,36.7,8620000,171,40.7779148,-73.9550713
1-01550-7501,768-R1,360 EAST 88 STREET,8,1,163,1988,273330,10660000,39,52300001,191,40.7782204,-73.9611663
1-01532-7501,706-R1,225 EAST 86 STREET,8,1,60,1981,59228,2300000,38.8,11300000,191,40.7785458,-73.9611704
1-01513-7502,1308-R1,150 EAST 85 STREET,8,1,102,1986,82637,3350000,40.5,16399992,198,40.7785843,-73.9489538
1-01569-7502,605-R1,401 EAST 89 STREET,8,1,197,1963,163567,5000000,30.6,23299986,142,40.7787946,-73.9527091
1-01569-7501,117-R1,402 EAST 90 STREET,8,1,82,1910,109500,3600000,32.9,16799998,153,40.778968,-73.9558872
1-01514-7502,1918-R2,150 EAST 86 STREET,8,1,98,2007,294700,8380000,28.4,34700000,118,40.7790608,-73.9473849
1-01569-7503,1701-R1,400 EAST 90 STREET,8,1,128,1999,112798,4400000,39,21600026,191,40.7791831,-73.948773
1-01515-7503,842-R1,170 EAST 87 STREET,8,1,241,1991,343000,14070000,41,69100004,201,40.779489,-73.94708
1-01534-7502,1738-R1,237 EAST 88 STREET,8,1,19,1920,8600,390000,45.3,1910000,222,40.779555,-73.955106
1-01552-7501,322-R1,1724 2 AVENUE,8,1,26,1910,13796,500000,36.2,2330001,169,40.780043,-73.9472423
1-01496-7501,444-R1,30 EAST 85 STREET,8,1,92,1987,152249,6500000,42.7,31899987,210,40.7801475,-73.960385
1-01516-7501,422-R1,153 EAST 87 STREET,8,1,42,1928,50156,1775000,35.4,8270001,165,40.7801988,-73.9538479
1-01515-7502,782-R1,120 EAST 87 STREET,8,1,219,1981,346269,14500000,41.9,71199991,206,40.7802076,-73.951086
1-01552-7502,507-R1,1730 2 AVENUE,8,1,31,1987,25593,1025000,40.1,5029998,197,40.7802379,-73.9563152
1-01534-7501,404-R1,200 EAST 89 STREET,8,1,253,1987,235069,9200000,39.1,44199997,188,40.7804883,-73.94981
1-01515-7501,264-R1,108 EAST 87 STREET,8,1,65,1939,60335,2150000,35.6,10000000,166,40.7806052,-73.9596561
1-01498-7501,164-R1,55 EAST 86 STREET,8,1,46,1924,97767,3250000,33.2,15100007,154,40.7808483,-73.9546086
1-01497-7501,825-R1,1049 5 AVENUE,8,1,54,1928,140295,6050000,43.1,29700003,212,40.7811335,-73.9557811
1-01497-7501,825-R2,1049 5 AVENUE,8,1,12,1928,3812,164000,43,822999,216,40.7811335,-73.9497456
1-01517-7501,454-R1,111 EAST 88 STREET,8,1,59,1929,71863,2480000,34.5,11600000,161,40.7812139,-73.95234
1-01554-7501,2006-R1,1760 2 AVENUE,8,1,154,2000,181821,7750000,42.6,38799996,213,40.781339,-73.9561499
1-01536-7501,1277-R1,1601 3 AVENUE,8,1,1258,1975,1496819,55380000,37,258000011,172,40.7814058,-73.9556184
1-01519-7501,1358-R1,181 EAST 90 STREET,8,1,94,2003,199437,8500000,42.6,41700002,209,40.7816694,-73.9581756
1-01499-7501,343-R1,60 EAST 88 STREET,8,1,18,1986,60288,2400000,39.8,11800001,196,40.781706,-73.959955
1-01518-7501,170-R1,1354 LEXINGTON AVENUE,8,1,104,1962,88510,3100000,35,14400001,163,40.7818205,-73.959955
1-01555-7501,524-R1,1776 2 AVENUE,8,1,221,1987,220209,8590000,39,42200003,192,40.7819184,-73.9551418
1-01539-7501,234-R1,1801 2 AVENUE,8,1,290,1985,391767,14400000,36.8,67100017,171,40.7826685,-73.948859
1-01557-7501,483-R1,1838 2 AVENUE,8,1,18,1987,17550,650000,37,3030001,173,40.7833596,-73.9514806
1-01521-7501,742-R1,134 EAST 93 STREET,8,1,30,1989,43060,1775000,41.2,8710004,202,40.7839082,-73.9522293
1-01540-7502,1943-R1,212 EAST 95 STREET,8,1,23,2007,37488,1430000,38.1,7020005,187,40.783944,-73.9572922
1-01540-7501,1767-R1,206 EAST 95 STREET,8,1,43,1989,43065,1750000,40.6,8590003,199,40.784081,-73.9539107
1-01505-7501,28-R1,55 EAST 93 STREET,8,1,29,1980,23232,845000,36.4,3939996,170,40.785322,-73.9484132
1-01505-7502,100-R1,40 EAST 94 STREET,8,1,215,1984,299069,12550000,42,61599979,206,40.7855606,-73.9483638
1-01524-7501,526-R1,1235 PARK AVENUE,8,1,59,1928,95534,3250000,34,15099998,158,40.786184,-73.956886
1-01507-7501,232-R1,14 EAST 96 STREET,8,1,17,1985,25633,915000,35.7,4260002,166,40.787289,-73.9474116
1-01511-7501,522-R1,129 EAST 82 STREET,8,2,32,1916,48138,1600000,33.2,7450000,155,40.7771228,-73.9526021
1-01548-7501,585-R1,320 EAST 86 STREET,8,2,27,1925,16350,525000,32.1,2450000,150,40.7772283,-73.94907
1-01493-7503,180-R1,1082 MADISON AVENUE,8,2,17,1910,22751,835039,36.7,3890000,171,40.7780439,-73.949398
1-01495-7501,365-R1,1114 MADISON AVENUE,8,2,56,1938,83594,3300000,39.5,16200000,194,40.779214,-73.954848
1-01514-7501,611-R1,120 EAST 86 STREET,8,2,16,1920,15101,535000,35.4,2490000,165,40.7795808,-73.9546989
1-01516-7502,1260-R1,115 EAST 87 STREET,8,2,198,1972,295573,9500000,32.1,44300000,150,40.7806681,-73.9519411
1-01501-7501,810-R1,1239 MADISON AVENUE,8,2,251,1969,487413,13700000,28.1,56700000,116,40.783029,-73.9524625
1-01524-7502,929-R1,108 EAST 96 STREET,8,2,112,1985,104951,4000000,38.1,20100000,192,40.7860292,-73.954914
1-01602-7501,1167-R1,65 EAST 96 STREET,8,1,60,1924,108700,3900000,35.9,18199997,167,40.7870646,-73.9530817
1-01607-7501,1669-R1,1200 5 AVENUE,8,1,51,1928,120464,4430000,36.8,20599996,171,40.7912098,-73.9530128
1-01613-7501,267-R1,1255 5 AVENUE,8,1,59,1925,63284,1800000,28.4,7460003,118,40.7950776,-73.9502988
1-01614-7501,1285-R1,1630 MADISON AVENUE,8,1,11,2003,7742,200000,25.8,828001,107,40.7954254,-73.9483952
1-01128-7502,677-R1,40 WEST 76 STREET,9,0,13,1910,8625,293250,34,1370001,159,40.77942,-73.9815601
1-01129-7501,634-R1,53 WEST 76 STREET,9,0,13,1900,6641,239076,36,1110003,167,40.779931,-73.9849015
1-01149-7501,589-R1,105 WEST 77 STREET,9,0,28,1900,14940,493020,33,2299994,154,40.7809765,-73.9810253
1-01169-7501,876-R1,200 WEST 78 STREET,9,0,16,1920,9957,418194,42,2049998,206,40.7824071,-73.9833153
1-01113-7502,953-R1,1 CENTRAL PARK WEST,9,1,158,1960,415113,18264972,44,89700004,216,40.7690691,-73.9806629
1-01131-7501,1055-R1,2 COLUMBUS AVENUE,9,1,133,1998,239035,10039470,42,49299995,206,40.7695186,-73.9826253
1-01114-7503,1653-R1,15 CENTRAL PARK WEST,9,1,202,2005,730068,41613876,57,204000017,279,40.7697798,-73.9833032
1-01113-7501,62-R1,30 WEST 61 STREET,9,1,166,1982,202235,8898340,44,43699994,216,40.7700118,-73.987849
1-01115-7501,612-R1,25 CENTRAL PARK WEST,9,1,425,1932,598316,21539376,36,100000005,167,40.7702862,-73.9829202
1-01114-7502,941-R1,62 WEST 62 STREET,9,1,120,1987,146748,6163416,42,30300002,206,40.7704679,-73.9808126
1-01114-7501,184-R1,43 WEST 61 STREET,9,1,94,1930,125900,4532400,36,21100022,168,40.7704951,-73.9894047
1-01116-7502,2001-R1,15 WEST 63 STREET,9,1,53,1999,146262,6143004,42,30200005,206,40.7711722,-73.9858615
1-01151-7503,1835-R1,555 WEST 59 STREET,9,1,186,2007,259288,10890096,42,53500014,206,40.7714442,-73.9811807
1-01132-7501,492-R1,161 WEST 61 STREET,9,1,222,1988,269253,11308626,42,55499993,206,40.7715768,-73.9881474
1-01116-7501,125-R1,20 WEST 64 STREET,9,1,655,1970,806195,32247800,40,157999962,196,40.7715807,-73.9901145
1-01152-7501,1544-R1,225 WEST 60 STREET,9,1,80,2004,86299,3624558,42,17800015,206,40.7715975,-73.980008
1-01151-7502,1719-R1,10 WEST END AVENUE,9,1,172,2005,213067,8948814,42,43900021,206,40.7718637,-73.9889511
